Price Change,Volume Change
-1.830001,382800
0.309997,-282600
2.490006,5631300
0.619995,-6537100
0.889999,1139200
1.649994,153500
-0.889999,-1365800
-0.739991,4738200
1.259995,-3743100
-1.080002,-467900
-0.330002,386800
-0.580001,995900
0.73001,-1180600
1.789994,398900
0.139999,1216500
-3.240005,-1284600
-0.339997,362800
2.059998,-658200
0.980011,-21200
1.539993,-948300
-0.270004,440400
0.529999,414100
-0.529999,1106500
2.060013,-2360600
0.289993,1033000
-1.869995,1089800
2.089996,-1004500
1.119995,-554100
0.419999,4700
-0.279999,222700
-0.419998,-552400
0.199997,946000
0.790008,-477500
-1.770004,18400
-1.729996,504900
0.569992,-301400
1.559998,431600
-1.689988,-620600
-0.940002,1140600
3.029999,-19000
0.889999,434400
-0.300003,-715900
-2.380005,1750800
3.110001,-544500
-0.479996,1298300
-3.190002,-2648100
-0.949997,719800
0.460006,4347200
-4.880004,-4210800
-1.100006,5658800
1.900009,-74400
-5.490006,-5294800
2.460007,-1177500
1,361900
-1.830002,-779500
0.080002,1149600
0.479996,-1353200
-0.520005,-252200
-0.48999,260800
0.220001,623700
-0.030014,317700
-1.589996,1205900
-1.270004,-970800
1.320007,554600
2.169998,-117400
-2.270004,-660100
0.190002,918100
-1.389999,1032900
3.800003,-1082800
1.630005,1584000
-1.75,3076300
-3.070007,-5127800
0,1860200
-2.849991,-2427100
0.119995,437900
-2.800003,2314500
3.699997,-1496800
-1.179993,1142600
1.009995,-1108900
2.960006,592900
-2.270004,-653700
2.679993,-748500
-1.759995,-158100
1.610001,-399200
-0.550003,2683500
1.460006,-1507900
-1.070007,2700800
1.940003,-3106200
2.020004,697000
-1.919998,-1987200
0.73999,638600
0.240005,151400
-1.699997,854000
-1.229995,-1463900
-0.560013,812400
-1.87999,-373800
-0.320007,293600
0.360001,813900
-2.809998,-1382900
0.970001,167300
1.190003,2028600
-0.949997,-1575100
1.509994,1860900
-3.809997,-827200
-1.350006,1851400
2.169998,1757200
-3.929993,-3824900
2.119995,1163700
2.690003,2228500
-0.490006,-3053300
-0.479996,1285300
-3.300003,5777000
4.860001,-3504300
0.190002,-2636800
-2.569992,-1507600
1.229996,441900
1.009995,-312800
-0.369996,-194700
2.669999,302000
-0.690003,-248000
-3.369995,465000
1.020004,1444900
3.439988,-1266300
2.550003,645100
-1.619996,-1513600
-0.389999,-1182000
0.459992,501900
1.830001,-1419600
-0.519989,-44100
0.419998,2175200
-0.800003,639200
-2.930007,4182400
-0.830002,-1562500
-5.75,-2171400
-0.519989,1651600
1.649994,-282300
2.320007,2111400
5.690002,-4622100
-0.560012,83200
2.48001,-211600
-1.130004,-1010200
1.410003,162500
0.779999,845900
0.470001,2569700
-1.850006,-2965000
-1.130005,704300
0.630005,-1762900
-0.220001,1560500
-0.190002,96300
0.389999,2556200
-1.229996,-2541600
-0.279999,105300
0.789994,-380000
0.460006,1607900
2.270005,-611200
0,177800
-1.370011,-1737200
-0.869995,138100
1.380005,156800
0.190002,1423800
-1.419998,-1463400
-0.61,572800
0.36,37100
0.829987,142200
1.710007,441300
0.039993,1129800
-0.049988,-1922000
-0.889999,843300
0.139999,3156000
-1.730011,-2906200
0.210007,1663000
0.099991,947300
-0.39,3485400
1.440003,9865000
5.87001,2466700
12.949997,-19066300
-2.210007,1228400
1.910004,1317200
2.050003,-2971100
-0.279999,-328000
2.409989,1493500
0.490005,-2464800
2.940003,359400
-3.649994,6500
3.329986,-891800
-0.369995,972000
-1.759994,-788400
0.259994,1440100
2.660004,-790600
-0.190003,-596300
0.419999,157600
-1.050003,1657500
3.300003,-1068800
-0.690003,219200
1.490006,16200
0.889999,5534000
-0.25,-5888700
-0.949997,247500
0.160004,-649300
-1.150009,-105100
-0.529999,444600
0.440002,-602500
-0.180008,465500
-1.549988,-360400
0.149994,120600
1.059998,-264000
-0.520004,604800
1.270004,-1042200
-0.389999,856900
0.740005,229700
-0.300003,-1405800
0.25,686600
0.740005,985200
-1.830001,-1451800
-0.75,216700
0.819992,556200
-1.12999,-318900
-0.029999,-137500
-0.710006,380200
-1.979996,394500
0.5,-885300
0.069992,-132500
-0.610001,61600
0.130005,668600
-0.839996,254300
-2.330002,-72900
1.669998,1138400
1.130005,-539100
2.539993,-1182000
-0.490005,3055200
2.520004,-973600
2.330002,-263700
0.570007,-679700
1.209992,-21700
-1.380005,134000
0.840011,236300
-1.61,-28500
0.459991,1268800
-3.23999,-698600
1.649994,4012000
-0.009995,705900
-0.130004,-1059700
-3.869996,-2947900
1.369996,-363600
-1.860001,-2098600
-0.300003,775300
0.720001,131800
-1.199997,-174500
0.819992,-176400
0.490006,-536300
-0.14,2670600
-2.039993,1550100
-5.080002,-2419300
0.440003,351700
-1.340012,-1317000
0.350006,-495700
0.160004,1112600
1.259994,-643700
-0.589996,7455100
1.270004,-7135700
0.779999,380700
-1.340011,-1470900
0.090011,1095300
0.209992,-782600
-1.339997,1651700
1.029999,-363600
2.039993,93200
1.930008,-1426500
0.149994,568300
